Šifra artikla,EAN,Cena B2B,Cena B2C,DDV,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Rabatna skupina artikla,Rabatna skupina ERP,Popust odprodaje %
BA.BH16.06180,5949097717093,45.6,113.33,22,4,0,0,4,0,,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.06181,5949097717109,47.52,115.56,22,3,0,0,3,0,129,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.07180,5949097717185,39.6,101.11,22,2,0,0,2,0,341,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.07181,5949097717192,104.44,104.44,22,9,0,0,9,0,313,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.07187,5949097717208,127.78,127.78,22,2,0,0,2,0,36,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.07280,5949097717215,127.78,127.78,22,,,,,,270,,,,BA,BA,0
BA.BH16.07281,5949097717239,131.11,131.11,22,2,0,0,2,0,96,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.07290,5949097717222,60.8,144.44,22,5,0,0,5,0,111,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.07291,5949097717246,148.89,148.89,22,,,,,,42,,,,BA,BA,0
BA.BH16.07297,5949097717260,177.78,177.78,22,,,,,,39,,,,BA,BA,0
BA.BH16.08287,5949097717291,59.04,136.67,22,1,0,0,1,0,,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.09180,5949097720031,187.78,187.78,22,,,,,,97,,,,BA,BA,0
BA.BH16.09181,5949097720048,79.2,187.78,22,2,0,0,2,0,158,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH16.09186,5949097720055,195.56,195.56,22,,,,,,119,,,,BA,BA,0
BA.BH16.09280,5949097720062,242.22,242.22,22,,,,,,92,,,,BA,BA,0
BA.BH16.09281,5949097720079,242.22,242.22,22,,,,,,98,,,,BA,BA,0
BA.BH16.09286,5949097720086,255.56,255.56,22,,,,,,157,,,,BA,BA,0
BA.BH16.09680,5949097720093,338.89,338.89,22,,,,,,80,,,,BA,BA,0
BA.BH16.09681,5949097720109,338.89,338.89,22,,,,,,89,,,,BA,BA,0
BA.BH16.09686,5949097720116,372.22,372.22,22,,,,,,63,,,,BA,BA,0
BA.BH16.09980,5949097720123,98.89,98.89,22,1,0,0,1,0,318,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.09981,5949097720130,98.89,98.89,22,6,0,0,6,0,294,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.09986,5949097720147,114.44,114.44,22,,,,,,132,,,,BA,BA,0
BA.BH16.21080,5949097723636,25.56,25.56,22,8,0,0,8,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.21180,5949097723643,41.67,41.67,22,1,0,0,1,0,124,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH16.22280,5949097723674,24.44,24.44,22,,,,,,,,,,BA,BA,0
BA.BH16.23280,5949097723711,26.67,26.67,22,6,0,0,6,0,24,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BH17.00280,5949097726576,174.44,174.44,22,,,,,,118,,,,BA,BA,0
BA.BH17.00281,5949097726583,175.56,175.56,22,,,,,,57,,,,BA,BA,0
BA.BH17.00286,5949097727191,186.67,186.67,22,,,,,,162,,,,BA,BA,0
BA.BH17.00780,5949097726590,70.8,188.89,22,1,0,0,1,0,45,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH17.00781,5949097726606,191.11,191.11,22,,,,,,114,,,,BA,BA,0
BA.BH17.00786,5949097727207,200,200,22,,,,,,95,,,,BA,BA,0
BA.BH17.01280,5949097726613,187.78,187.78,22,,,,,,116,,,,BA,BA,0
BA.BH17.01281,5949097726620,187.78,187.78,22,,,,,,163,,,,BA,BA,0
BA.BH17.01286,5949097727214,203.33,203.33,22,,,,,,55,,,,BA,BA,0
BA.BH17.01380,5949097726637,211.11,211.11,22,,,,,,99,,,,BA,BA,0
BA.BH17.01381,5949097726644,211.11,211.11,22,,,,,,84,,,,BA,BA,0
BA.BH17.01386,5949097726651,227.78,227.78,22,,,,,,98,,,,BA,BA,0
BA.BH17.01780,5949097726668,187.78,187.78,22,,,,,,78,,,,BA,BA,0
BA.BH17.01781,5949097726811,187.78,187.78,22,,,,,,144,,,,BA,BA,0
BA.BH17.01980,5949097726682,203.33,203.33,22,,,,,,98,,,,BA,BA,0
BA.BH17.01981,5949097726699,203.33,203.33,22,,,,,,125,,,,BA,BA,0
BA.BH17.01986,5949097726705,214.44,214.44,22,,,,,,51,,,,BA,BA,0
BA.BH17.02380,5949097726712,186.67,186.67,22,,,,,,71,,,,BA,BA,0
BA.BH17.02381,5949097726729,186.67,186.67,22,,,,,,124,,,,BA,BA,0
BA.BH17.02880,5949097726736,205.56,205.56,22,,,,,,80,,,,BA,BA,0
BA.BH17.02881,5949097726743,205.56,205.56,22,,,,,,59,,,,BA,BA,0
BA.BH17.03480,5949097726750,230,230,22,,,,,,50,,,,BA,BA,0
BA.BH17.03481,5949097726767,230,230,22,,,,,,38,,,,BA,BA,0
BA.BH17.03486,5949097726774,245.56,245.56,22,,,,,,60,,,,BA,BA,0
BA.BH17.03980,5949097726781,218.89,218.89,22,,,,,,97,,,,BA,BA,0
BA.BH17.03981,5949097726798,87.6,218.89,22,2,0,0,2,0,113,,,Glavno skladišče Rakovnik 9a,VD0,VD0,0
BA.BH17.03986,5949097726804,237.78,237.78,22,,,,,,58,,,,BA,BA,0
BA.BH17.04090,5949097734212,136.67,136.67,22,,,,,,126,,,,BA,BA,0
BA.BH17.04091,5949097734229,136.67,136.67,22,,,,,,320,,,,BA,BA,0
BA.BH17.04190,5949097734236,152.22,152.22,22,,,,,,,,,,BA,BA,0
BA.BH17.04191,5949097734243,152.22,152.22,22,,,,,,,,,,BA,BA,0
BA.BH17.04490,5949097734298,112.22,112.22,22,,,,,,170,,,,BA,BA,0
BA.BH17.04491,5949097734304,112.22,112.22,22,,,,,,259,,,,BA,BA,0
BA.BH17.04590,5949097734311,151.11,151.11,22,,,,,,240,,,,BA,BA,0
BA.BH17.04591,5949097734328,151.11,151.11,22,,,,,,224,,,,BA,BA,0
BA.BK01.00516,5949097723834,33.33,33.33,22,,,,,,340,,,,BA,BA,0
BA.BK01.00710,5949097723841,37.78,37.78,22,,,,,,630,,,,BA,BA,0
BA.BK01.01310,5949097722431,31.11,31.11,22,,,,,,,,,,BA,BA,0
BA.BK01.01411,5949097722448,41.11,41.11,22,,,,,,400,,,,BA,BA,0
BA.BK01.02681,5949097725289,50,50,22,,,,,,,,,,BA,BA,0
BA.BK01.02781,5949097725296,38.89,38.89,22,,,,,,,,,,BA,BA,0
BA.BK06.00080,5949097738012,28.33,28.33,22,59,0,0,59,0,2244,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BK06.00081,5949097738029,28.33,28.33,22,18,0,0,18,0,2240,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BK06.00090,5949097738036,43.33,43.33,22,,,,,,730,,,,BA,BA,0
BA.BK06.00091,5949097738043,43.33,43.33,22,,,,,,550,,,,BA,BA,0
BA.BK06.00092,5949097738050,43.89,43.89,22,,,,,,330,,,,BA,BA,0
BA.BN10.00400,5949097701535,8.22,8.22,22,,,,,,600,,,,BA,BA,0
BA.BN11.00700,5949097707636,8.56,8.56,22,,,,,,420,,,,BA,BA,0
BA.BN11.00710,5949097736797,8.56,8.56,22,31,0,0,31,0,651,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BN11.00730,5949097707643,8.56,8.56,22,,,,,,1050,,,,BA,BA,0
BA.BN11.01100,5949097707650,10.22,10.22,22,,,,,,510,,,,BA,BA,0
BA.BN11.01110,5949097736803,10.22,10.22,22,7,0,0,7,0,1320,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BN11.01130,5949097707667,10.22,10.22,22,,,,,,1080,,,,BA,BA,0
BA.BN11.01400,5949097707674,11.44,11.44,22,,,,,,480,,,,BA,BA,0
BA.BN11.01410,5949097736810,11.44,11.44,22,25,0,0,25,0,1110,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BN11.01430,5949097707681,11.44,11.44,22,,,,,,210,,,,BA,BA,0
BA.BN18.00630,5949097718281,9.89,9.89,22,,,,,,180,,,,BA,BA,0
BA.BN18.01280,5949097743917,17,17,22,173,0,4,169,0,4359,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BN20.10610,5949097730818,15.33,15.33,22,2,0,0,2,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BN20.11280,5949097734465,23.33,23.33,22,9,0,0,9,0,3080,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BN20.41280,5949097730856,33.89,33.89,22,20,0,0,20,0,499,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00280,5949097732867,18.33,18.33,22,4,0,0,4,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00281,5949097732874,18.33,18.33,22,10,0,0,10,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00287,5949097746802,22,22,22,44,2,0,42,0,0,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00380,5949097732881,25.33,25.33,22,1,0,0,1,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00381,5949097732898,25.33,25.33,22,1,0,0,1,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00387,5949097746819,30,30,22,9,2,0,7,0,20,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00480,5949097732904,38.89,38.89,22,25,1,0,24,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00481,5949097732911,38.89,38.89,22,29,0,0,29,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00487,5949097746826,44.44,44.44,22,11,2,0,9,0,140,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00580,5949097732928,60.78,60.78,22,36,0,0,36,0,,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00581,5949097732935,60.78,60.78,22,31,0,0,31,0,630,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.00587,5949097746833,66.11,66.11,22,6,2,0,4,0,15,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.10280,5949097746840,21.67,21.67,22,45,0,0,45,0,859,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.10281,5949097746857,21.67,21.67,22,57,0,0,57,0,1040,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.10287,5949097746864,24.67,24.67,22,36,0,0,36,0,860,,,Glavno skladišče Rakovnik 9a,BA,BA,0
