Angleska vrednost;Jezik;Prevodi v preglednici;Vrstice v preglednici;KATERA LASTNOST (Domain) za kateri prevod
panel;SL;panel | panelna;1066 2886;
pink;DE;Rosa | pink;1089 1339 2329;
pink;HR;pink | ružičasta;1089 1339 2329;
pink;SL;pink | roza | rožnata;1089 1339 2329;
plastic;SL;Plastic | plastika;1105 2337;
plywood;SL;Plywood | vezan les;1680 2338;
polyurethane;HR;poliuretanska | poliuretanski;1147 1149;
polyurethane;SL;poliuretanska | poliuretanski;1147 1149;
programmable;SL;programirljiv | programljiv;1236 2207;
purpose-made;SL;namenska | namenski;896 897;
push-in;HR;brza | brzi;523 524;
push-in;SL;hitra | hitri;523 524;
raw;HR;sirov | sirova;1497 1498;
raw;SL;surov | surova;1497 1498;
recessed;DE;eingebaut | eingebauter | eingebautes;1132 1134 1135 1686 1695 1697;
recessed;HR;ugradna | ugradni | ugradno;1132 1134 1135 1686 1695 1697;
recessed;SL;podometna | podometni | podometno | vgradna | vgradni | vgradno;1132 1134 1135 1686 1695 1697;
rectangular;HR;pravokutna | pravokutni | pravokutno;1173 1174 1175 1176;
rectangular;SL;pravokoten | pravokotna | pravokotni | pravokotno;1173 1174 1175 1176;
red;SL;rdeč | rdeča | rdeče;1287 1297 1299;
red-black;SL;rdeča-črna | rdeče-črn | rdeče-črna;1300 1301 1302;
red/black;SL;rdeč/črn | rdeča/črna;1288 2049;
red/blue/black/white;SL;rdeč/moder/črn/bel | rdeč/modr/črn/bel | rdeča/modra/črna/bela;1289 1291 1292;
red/blue/black/white/green;SL;rdeč/moder/črn/bel/zelen | rdeča/modra/črna/bela/zelena;1290 1293;
resin;SL;Zalivka | smola;2087 2382;
rl;HR;RL | rol;2426 2612;
rl;SL;RL | rol;2426 2612;
round;DE;rund | runde;307 1027 1028 1029;
round;HR;okrugao | okrugla | okruglo;307 1027 1028 1029;
round;SL;bučka | okrogel | okrogla | okroglo;307 1027 1028 1029;
rounded;SL;zaobljen | zaobljena;2262 2263;
rust;SL;barva rje | rust;1347 2224;
screw-type;DE;mit Schrauben | schrauben;1712 1713 1715;
screw-type;HR;sa vijkom | vijak;1712 1713 1715;
screw-type;SL;vijačna | vijačni | vijačno;1712 1713 1715;
screwless;SL;brezvijačna | brezvijačni | brezvijačno;296 297 298;
self-extinguishing;HR;samogasiva | samogasivi;1365 1366;
self-extinguishing;SL;samougasna | samougasni;1365 1366;
shallow;SL;plitek | plitka;1109 2292;
side;HR;stranska | stranski;1482 2040;
side;SL;stranska (SIDE) | stranski;1482 2040;
silicone;DE;Silikon | Silikon-;1408 1412 1413;
silicone;HR;silikon | silikonska | silikonski;1408 1412 1413;
silicone;SL;silikon | silikonska | silikonski;1408 1412 1413;
silk gray;DE;seidengrau | silk gray;2742 2859;
silk gray;HR;silk gray | svileno siva;2742 2859;
silk gray;SL;silk gray | svileno siva;2742 2859;
silver;HR;srebro | u boji srebra;1439 1440 1443 2145;
silver;SL;srebrn | srebrna | srebrni | srebrno;1439 1440 1443 2145;
single;DE;einfach | einfacher Höhe | einzel;457 458 459 469;
single;HR;jednostruka | jednostruki | jednostruko;457 458 459 469;
single;SL;enojna | enojni | enojno | enovišinski;457 458 459 469;
single-colour;HR;jednobojna | jednobojni;455 456;
single-colour;SL;enobarvna | enobarvni;455 456;
smoked;DE;rauchige | smoked;2702 2850;
smoked;HR;dimljena | smoked;2702 2850;
smoked;SL;dimljena | smoked;2702 2850;
solar;SL;solarna | solarni;1992 2701;
spring;SL;vzmetna | vzmetna (SPRING);1759 1760;
square;DE;quadratisch | quadratische;706 707 1974;
square;HR;četvrtast | četvrtasta;706 707 1974;
square;SL;kvadraten | kvadratna | kvadratno;706 707 1974;
stainless steel;HR;nehrđajući metal | nehrđajući čelik;950 951;
stainless steel;SL;nerjaveča kovina | nerjaveče jeklo;950 951;
steel;DE;Stahl | aus Stahl;583 585;
steel;HR;od čelika | čelik;583 585;
steel;SL;jekleni | jeklo;583 585;
surface mount;HR;nadgradna | nadgradni | nadgradnja | nadgradno;880 883 887 891 892 893 2881;
surface mount;SL;nadgradna | nadgradni | nadgradno | nadometen | nadometna | nadometni | nadometno;880 883 887 891 892 893 2881;
tons;HR;tone | toni;1607 1608;
tons;SL;tone | toni;1607 1608;
transparent;HR;transparentan | transparentna | transparentno;1245 1246 1247 1622 1623;
transparent;SL;prozoren | prozorna | prozorno | transparenten | transparentna;1245 1246 1247 1622 1623;
transparent gray;HR;transparentno siva | transparentno sivo;2355 2882;
transparent gray;SL;transparentno siva | transparentno sivo;2355 2882;
triangular;HR;trokutasta | trokutasti;2450 2642;
triangular;SL;trikoten | trikotna;2450 2642;
triple;DE;3-fach | 3-faches;1628 1629 1631;
triple;HR;trojna | trojno | trostruki;1628 1629 1631;
triple;SL;trojna | trojni | trojno;1628 1629 1631;
tube;DE;Rohr | Tube;327 1632;
tube;HR;cijev | tuba;327 1632;
tube;SL;cev | tuba;327 1632;
two-colour;SL;dvobarvna | dvobarvno;428 429;
type;SL;Tip | Vrsta | tip;1578 1579 1580 1736;
universal;DE;Univerzal | universal | universale;1651 1652 2835;
universal;HR;univerzalan | univerzalen | univerzalna;1651 1652 2835;
universal;SL;univerzalen | univerzalna | univerzalni;1651 1652 2835;
vertical;SL;vertikalna | vertikalni;1678 1679;
wall;DE;Wand- | wand;1453 1458 1463;
wall;HR;zidna | zidni | zidno;1453 1458 1463;
wall;SL;stenska | stenski | stensko;1453 1458 1463;
warm white;DE;warmes weiß | warmes weiße;1609 1610;
warm white;HR;toplo bijela | toplo bijelo;1609 1610;
warm white;SL;toplo bela | toplo belo;1609 1610;
white;HR;bijela | bijeli | bijelo;263 264 271 272 273;
white;SL;bel | bela | bele | beli | belo;263 264 271 272 273;
white/chrome;SL;bela/krom | belo/krom;2067 2578;
white/gold;SL;bela/zlata | belo/zlata;270 2582;
white/silver;SL;bela/srebrna | belo/srebrna;1955 2576;
white/white;SL;bela/bel | bela/bela | belo/bela;267 2066 2580;
without holder;HR;neizoliran | neizolirana;498 499;
without holder;SL;gola | goli;498 499;
yellow;SL;rumen | rumena;1341 1344;
yellow-green;SL;rumeno-zelen | rumeno-zelena;1345 1346;
zinc-coated;HR;pocinčan | pocinčana;1115 1116;
zinc-coated;SL;pocinkan | pocinkana;1115 1116;
